"response_id","customer_id","date_key","year_month","nps_score","nps_category","nps_value","reason","feature_request","plan_tier","country","acquisition_channel","submitted_at"
"f4f0af6d-d23","1d367865-a456-4d24-82be-3058dd0315d0",20240901,"2024-09",8,"Passive",0,"Good but missing a few features","API docs","business","US","referral","2024-09-01 18:29:44+01"
"bff57db1-da8","1d367865-a456-4d24-82be-3058dd0315d0",20241201,"2024-12",9,"Promoter",1,"Great value","Better reporting","business","US","referral","2024-12-01 06:57:27+01"
"be681947-325","1d367865-a456-4d24-82be-3058dd0315d0",20250301,"2025-03",8,"Passive",0,"Decent price","Bulk actions","business","US","referral","2025-03-01 06:19:21+01"
"74c4d7f5-36c","1d367865-a456-4d24-82be-3058dd0315d0",20250601,"2025-06",9,"Promoter",1,"Saves me hours every week","Bulk actions","business","US","referral","2025-06-01 05:32:31+01"
"b2e60c30-a1f","4fe6c0d1-f0e7-4cb5-9787-23e33a216ed2",20240301,"2024-03",8,"Passive",0,"Some bugs occasionally","","pro","GB","google_ads","2024-03-01 03:43:50+01"
"96d6c00a-b9c","4fe6c0d1-f0e7-4cb5-9787-23e33a216ed2",20240601,"2024-06",9,"Promoter",1,"Saves me hours every week","Mobile app improvements","pro","GB","google_ads","2024-06-01 21:40:40+01"
"079e4606-31a","4fe6c0d1-f0e7-4cb5-9787-23e33a216ed2",20240901,"2024-09",10,"Promoter",1,"Saves me hours every week","","pro","GB","google_ads","2024-09-01 22:56:01+01"
"20db3902-20c","4fe6c0d1-f0e7-4cb5-9787-23e33a216ed2",20241201,"2024-12",10,"Promoter",1,"Saves me hours every week","More integrations","pro","GB","google_ads","2024-12-01 14:11:15+01"
"5adee81a-66a","4fe6c0d1-f0e7-4cb5-9787-23e33a216ed2",20250301,"2025-03",8,"Passive",0,"Works well enough","More integrations","pro","GB","google_ads","2025-03-01 02:53:39+01"
"a4fe406d-578","4fe6c0d1-f0e7-4cb5-9787-23e33a216ed2",20250601,"2025-06",9,"Promoter",1,"Saves me hours every week","API docs","pro","GB","google_ads","2025-06-01 20:30:56+01"
"175b86bf-124","1be6b9d7-41c9-4d2f-a70d-903cc531acca",20240901,"2024-09",7,"Passive",0,"Good but missing a few features","","starter","ZA","google_ads","2024-09-01 04:21:37+01"
"712de8c1-79c","1be6b9d7-41c9-4d2f-a70d-903cc531acca",20241201,"2024-12",9,"Promoter",1,"Best tool for my team","Mobile app improvements","starter","ZA","google_ads","2024-12-01 20:36:54+01"
"fc4de8bf-698","1be6b9d7-41c9-4d2f-a70d-903cc531acca",20250301,"2025-03",8,"Passive",0,"Decent price","","starter","ZA","google_ads","2025-03-01 07:59:11+01"
"34edb1c6-a12","1be6b9d7-41c9-4d2f-a70d-903cc531acca",20250601,"2025-06",10,"Promoter",1,"Saves me hours every week","","starter","ZA","google_ads","2025-06-01 10:51:36+01"
"fd4b4e63-e04","b1ee4131-79c8-4cf8-9e4d-d4c6c106620c",20250301,"2025-03",10,"Promoter",1,"Saves me hours every week","Mobile app improvements","pro","GB","organic_search","2025-03-01 12:58:25+01"
"8d77bdcd-f90","b1ee4131-79c8-4cf8-9e4d-d4c6c106620c",20250601,"2025-06",9,"Promoter",1,"Saves me hours every week","More integrations","pro","GB","organic_search","2025-06-01 18:07:34+01"
"708f2485-9b4","e929f4e0-bf69-4638-b350-50d92187fdfc",20240301,"2024-03",10,"Promoter",1,"Super easy to use","API docs","pro","KE","product_hunt","2024-03-01 18:50:18+01"
"9229fe2c-7b6","e929f4e0-bf69-4638-b350-50d92187fdfc",20240601,"2024-06",9,"Promoter",1,"Great value","Mobile app improvements","pro","KE","product_hunt","2024-06-01 17:29:10+01"
"62181484-d15","e929f4e0-bf69-4638-b350-50d92187fdfc",20240901,"2024-09",9,"Promoter",1,"Clean UI, nothing bloated","API docs","pro","KE","product_hunt","2024-09-01 11:11:54+01"
"d1c16b77-88f","e929f4e0-bf69-4638-b350-50d92187fdfc",20241201,"2024-12",10,"Promoter",1,"Saves me hours every week","Mobile app improvements","pro","KE","product_hunt","2024-12-01 14:43:03+01"
"1fa6d2da-a70","e929f4e0-bf69-4638-b350-50d92187fdfc",20250301,"2025-03",10,"Promoter",1,"Clean UI, nothing bloated","","pro","KE","product_hunt","2025-03-01 11:18:55+01"
"563af176-2ca","e929f4e0-bf69-4638-b350-50d92187fdfc",20250601,"2025-06",9,"Promoter",1,"Clean UI, nothing bloated","","pro","KE","product_hunt","2025-06-01 23:52:34+01"
"3cab40fe-5e8","a33a55fd-9e5a-422a-92b8-b06a1cea1dfd",20241201,"2024-12",9,"Promoter",1,"Best tool for my team","","starter","GH","organic_search","2024-12-01 17:44:23+01"
"022e8c8e-535","a33a55fd-9e5a-422a-92b8-b06a1cea1dfd",20250301,"2025-03",9,"Promoter",1,"Love the kanban board","API docs","starter","GH","organic_search","2025-03-01 13:39:28+01"
"3f7c6dc4-b16","a33a55fd-9e5a-422a-92b8-b06a1cea1dfd",20250601,"2025-06",10,"Promoter",1,"Best tool for my team","More integrations","starter","GH","organic_search","2025-06-01 08:32:57+01"
"a46f213d-261","8de864eb-fae2-49e5-a6a3-0f68296cd964",20250301,"2025-03",9,"Promoter",1,"Great value","","pro","GB","google_ads","2025-03-01 22:53:39+01"
"d8c0f647-630","8de864eb-fae2-49e5-a6a3-0f68296cd964",20250601,"2025-06",8,"Passive",0,"Good but missing a few features","Mobile app improvements","pro","GB","google_ads","2025-06-01 15:57:11+01"
"cabced14-e98","c682fd25-2104-4dd7-bbb9-d1d94de53690",20241201,"2024-12",8,"Passive",0,"Works well enough","Mobile app improvements","starter","NG","google_ads","2024-12-01 13:45:23+01"
"65ba16f8-d04","c682fd25-2104-4dd7-bbb9-d1d94de53690",20250301,"2025-03",9,"Promoter",1,"Best tool for my team","","starter","NG","google_ads","2025-03-01 02:19:06+01"
"1a741bc5-d00","c682fd25-2104-4dd7-bbb9-d1d94de53690",20250601,"2025-06",9,"Promoter",1,"Best tool for my team","Better reporting","starter","NG","google_ads","2025-06-01 02:43:24+01"
"fc15da69-95e","d6ba0b13-1e90-4386-8365-06c53352660b",20240601,"2024-06",9,"Promoter",1,"Clean UI, nothing bloated","Bulk actions","pro","US","referral","2024-06-01 17:13:43+01"
"731c0007-0a7","d6ba0b13-1e90-4386-8365-06c53352660b",20240901,"2024-09",8,"Passive",0,"Good but missing a few features","Mobile app improvements","pro","US","referral","2024-09-01 12:41:05+01"
"9646adb4-963","d6ba0b13-1e90-4386-8365-06c53352660b",20241201,"2024-12",7,"Passive",0,"Works well enough","More integrations","pro","US","referral","2024-12-01 08:13:13+01"
"e0c33cc6-985","d6ba0b13-1e90-4386-8365-06c53352660b",20250301,"2025-03",10,"Promoter",1,"Great value","Better reporting","pro","US","referral","2025-03-01 01:32:04+01"
"3bc2bf4d-c04","d6ba0b13-1e90-4386-8365-06c53352660b",20250601,"2025-06",6,"Detractor",-1,"Keeps crashing on mobile","Better reporting","pro","US","referral","2025-06-01 19:49:21+01"
"ebf8add7-350","8df4122d-f01b-4a32-be67-44a99402f5c2",20240901,"2024-09",9,"Promoter",1,"Super easy to use","More integrations","starter","CA","organic_search","2024-09-01 02:19:50+01"
"e2cbe96a-963","8df4122d-f01b-4a32-be67-44a99402f5c2",20241201,"2024-12",10,"Promoter",1,"Love the kanban board","Better reporting","starter","CA","organic_search","2024-12-01 18:42:12+01"
"9be91718-0f5","8df4122d-f01b-4a32-be67-44a99402f5c2",20250301,"2025-03",8,"Passive",0,"Some bugs occasionally","Bulk actions","starter","CA","organic_search","2025-03-01 12:42:15+01"
"c4f63964-3f9","8df4122d-f01b-4a32-be67-44a99402f5c2",20250601,"2025-06",8,"Passive",0,"Some bugs occasionally","API docs","starter","CA","organic_search","2025-06-01 03:14:25+01"
"e56f9ca5-933","899f3301-1012-4f00-b6a9-ed48d83cf442",20241201,"2024-12",10,"Promoter",1,"Love the kanban board","Mobile app improvements","pro","NG","product_hunt","2024-12-01 01:47:36+01"
"df149fb0-8ad","899f3301-1012-4f00-b6a9-ed48d83cf442",20250301,"2025-03",8,"Passive",0,"Works well enough","Better reporting","pro","NG","product_hunt","2025-03-01 20:33:52+01"
"1a82c4f4-a50","899f3301-1012-4f00-b6a9-ed48d83cf442",20250601,"2025-06",9,"Promoter",1,"Clean UI, nothing bloated","Mobile app improvements","pro","NG","product_hunt","2025-06-01 01:10:45+01"
"ee161d59-6ee","11ec1245-5aaa-44af-8aa1-17b88994502c",20240302,"2024-03",9,"Promoter",1,"Clean UI, nothing bloated","Better reporting","pro","KE","product_hunt","2024-03-02 00:34:26+01"
"b09425cf-69f","11ec1245-5aaa-44af-8aa1-17b88994502c",20240601,"2024-06",10,"Promoter",1,"Clean UI, nothing bloated","More integrations","pro","KE","product_hunt","2024-06-01 14:41:49+01"
"f7963159-fd1","11ec1245-5aaa-44af-8aa1-17b88994502c",20240901,"2024-09",10,"Promoter",1,"Best tool for my team","More integrations","pro","KE","product_hunt","2024-09-01 01:51:22+01"
"dd353553-f91","11ec1245-5aaa-44af-8aa1-17b88994502c",20241201,"2024-12",10,"Promoter",1,"Best tool for my team","Mobile app improvements","pro","KE","product_hunt","2024-12-01 07:13:48+01"
"b875dd79-11f","11ec1245-5aaa-44af-8aa1-17b88994502c",20250301,"2025-03",4,"Detractor",-1,"Missing integrations I need","Mobile app improvements","pro","KE","product_hunt","2025-03-01 11:16:57+01"
"311d491c-651","11ec1245-5aaa-44af-8aa1-17b88994502c",20250601,"2025-06",4,"Detractor",-1,"Too expensive for what it offers","","pro","KE","product_hunt","2025-06-01 08:20:40+01"
"000fb1eb-8f1","c2c2d2f0-6690-4940-897a-d5686d41a4fc",20240601,"2024-06",9,"Promoter",1,"Super easy to use","More integrations","starter","GB","google_ads","2024-06-01 03:46:27+01"
"3b80daaf-5f3","c2c2d2f0-6690-4940-897a-d5686d41a4fc",20240901,"2024-09",9,"Promoter",1,"Super easy to use","More integrations","starter","GB","google_ads","2024-09-01 14:54:42+01"
"59309619-984","c2c2d2f0-6690-4940-897a-d5686d41a4fc",20241201,"2024-12",10,"Promoter",1,"Great value","Better reporting","starter","GB","google_ads","2024-12-01 08:59:40+01"
"9debda6e-4e7","c2c2d2f0-6690-4940-897a-d5686d41a4fc",20250301,"2025-03",10,"Promoter",1,"Super easy to use","API docs","starter","GB","google_ads","2025-03-01 11:32:21+01"
"61c9e5f9-5be","c2c2d2f0-6690-4940-897a-d5686d41a4fc",20250602,"2025-06",9,"Promoter",1,"Clean UI, nothing bloated","Bulk actions","starter","GB","google_ads","2025-06-02 00:39:57+01"
"5d0cb81b-1b0","9796f456-325e-44e9-a0b0-7d53e6ba2476",20240902,"2024-09",10,"Promoter",1,"Super easy to use","Better reporting","starter","IN","referral","2024-09-02 00:45:39+01"
"b2e975e4-1a3","9796f456-325e-44e9-a0b0-7d53e6ba2476",20241201,"2024-12",10,"Promoter",1,"Best tool for my team","API docs","starter","IN","referral","2024-12-01 12:20:18+01"
"bd3c1d66-51b","9796f456-325e-44e9-a0b0-7d53e6ba2476",20250301,"2025-03",8,"Passive",0,"Decent price","API docs","starter","IN","referral","2025-03-01 14:37:29+01"
"fcfb8b48-7ec","9796f456-325e-44e9-a0b0-7d53e6ba2476",20250601,"2025-06",10,"Promoter",1,"Great value","More integrations","starter","IN","referral","2025-06-01 21:35:53+01"
"9c1085af-436","badcf06b-7c3b-454c-a7b4-c4d8f5f69b63",20240301,"2024-03",8,"Passive",0,"Good but missing a few features","More integrations","business","GB","linkedin_ads","2024-03-01 02:54:31+01"
"620d6459-2f2","badcf06b-7c3b-454c-a7b4-c4d8f5f69b63",20240601,"2024-06",10,"Promoter",1,"Best tool for my team","Mobile app improvements","business","GB","linkedin_ads","2024-06-01 04:58:28+01"
"1ba851e8-a08","badcf06b-7c3b-454c-a7b4-c4d8f5f69b63",20240901,"2024-09",8,"Passive",0,"Good but missing a few features","Better reporting","business","GB","linkedin_ads","2024-09-01 22:47:54+01"
"057f0dc4-9fa","badcf06b-7c3b-454c-a7b4-c4d8f5f69b63",20241201,"2024-12",9,"Promoter",1,"Clean UI, nothing bloated","Mobile app improvements","business","GB","linkedin_ads","2024-12-01 02:48:21+01"
"d52419d4-4df","badcf06b-7c3b-454c-a7b4-c4d8f5f69b63",20250301,"2025-03",9,"Promoter",1,"Saves me hours every week","Bulk actions","business","GB","linkedin_ads","2025-03-01 06:44:32+01"
"edd15aca-6d4","badcf06b-7c3b-454c-a7b4-c4d8f5f69b63",20250601,"2025-06",10,"Promoter",1,"Great value","","business","GB","linkedin_ads","2025-06-01 17:52:25+01"
"5c836005-e58","608c8c77-b5bf-46ac-ac4c-b5a079fc28dc",20240601,"2024-06",10,"Promoter",1,"Clean UI, nothing bloated","Mobile app improvements","starter","NG","organic_search","2024-06-01 10:50:17+01"
"b7490961-1eb","608c8c77-b5bf-46ac-ac4c-b5a079fc28dc",20240901,"2024-09",9,"Promoter",1,"Love the kanban board","","starter","NG","organic_search","2024-09-01 07:17:21+01"
"e30fd6bf-b02","608c8c77-b5bf-46ac-ac4c-b5a079fc28dc",20241201,"2024-12",6,"Detractor",-1,"Support was slow","","starter","NG","organic_search","2024-12-01 11:56:00+01"
"3a629e94-c85","608c8c77-b5bf-46ac-ac4c-b5a079fc28dc",20250301,"2025-03",10,"Promoter",1,"Great value","Better reporting","starter","NG","organic_search","2025-03-01 09:38:46+01"
"b7937173-e03","608c8c77-b5bf-46ac-ac4c-b5a079fc28dc",20250601,"2025-06",10,"Promoter",1,"Best tool for my team","More integrations","starter","NG","organic_search","2025-06-01 15:39:35+01"
"49c1df98-634","fcb28c0a-025a-4f3e-9dd9-95a2d9ba6b36",20241201,"2024-12",8,"Passive",0,"Works well enough","Mobile app improvements","pro","GB","google_ads","2024-12-01 15:25:43+01"
"6bbff1fc-387","fcb28c0a-025a-4f3e-9dd9-95a2d9ba6b36",20250301,"2025-03",3,"Detractor",-1,"Support was slow","Better reporting","pro","GB","google_ads","2025-03-01 05:07:43+01"
"7f1abf70-abf","fcb28c0a-025a-4f3e-9dd9-95a2d9ba6b36",20250601,"2025-06",7,"Passive",0,"Decent price","Bulk actions","pro","GB","google_ads","2025-06-01 18:05:13+01"
"6aa9ab01-188","baff0e8e-b04a-4b1b-bab8-eccb3f644fa0",20241201,"2024-12",10,"Promoter",1,"Best tool for my team","Bulk actions","starter","ZA","product_hunt","2024-12-01 07:01:12+01"
"d8c77828-108","baff0e8e-b04a-4b1b-bab8-eccb3f644fa0",20250301,"2025-03",10,"Promoter",1,"Saves me hours every week","Bulk actions","starter","ZA","product_hunt","2025-03-01 12:11:16+01"
"486dbae0-785","baff0e8e-b04a-4b1b-bab8-eccb3f644fa0",20250601,"2025-06",9,"Promoter",1,"Clean UI, nothing bloated","","starter","ZA","product_hunt","2025-06-01 08:45:39+01"
"421e0afb-fe0","b6805c6e-23a9-4c79-87e5-9d15d5b7b18c",20250601,"2025-06",5,"Detractor",-1,"Confusing onboarding","API docs","starter","CA","referral","2025-06-01 05:09:41+01"
"0b64695c-1e3","12f93db1-cee7-409f-af8b-c0fd7e89db3c",20240601,"2024-06",8,"Passive",0,"Decent price","More integrations","pro","ZA","google_ads","2024-06-01 23:57:10+01"
"ed5aa021-974","12f93db1-cee7-409f-af8b-c0fd7e89db3c",20240901,"2024-09",1,"Detractor",-1,"Too expensive for what it offers","Better reporting","pro","ZA","google_ads","2024-09-01 21:16:18+01"
"3463f805-e24","12f93db1-cee7-409f-af8b-c0fd7e89db3c",20241201,"2024-12",5,"Detractor",-1,"Too expensive for what it offers","Bulk actions","pro","ZA","google_ads","2024-12-01 18:50:13+01"
"9715b745-a91","12f93db1-cee7-409f-af8b-c0fd7e89db3c",20250301,"2025-03",10,"Promoter",1,"Great value","Better reporting","pro","ZA","google_ads","2025-03-01 15:20:24+01"
"ee2e6503-558","12f93db1-cee7-409f-af8b-c0fd7e89db3c",20250601,"2025-06",8,"Passive",0,"Decent price","API docs","pro","ZA","google_ads","2025-06-01 12:00:06+01"
"2dce4e6e-f03","ca9e1285-e8ff-45a0-88b7-1aa7f49c5f4d",20250601,"2025-06",7,"Passive",0,"Some bugs occasionally","More integrations","pro","KE","organic_search","2025-06-01 12:56:23+01"
"c1eeb296-ffa","726437c2-ba82-4a46-a3a0-ea623b9d0c40",20241201,"2024-12",10,"Promoter",1,"Great value","API docs","starter","GB","google_ads","2024-12-01 03:14:47+01"
"e81b170d-453","726437c2-ba82-4a46-a3a0-ea623b9d0c40",20250301,"2025-03",9,"Promoter",1,"Great value","Bulk actions","starter","GB","google_ads","2025-03-01 19:22:44+01"
"95bbbe2f-b79","726437c2-ba82-4a46-a3a0-ea623b9d0c40",20250601,"2025-06",6,"Detractor",-1,"Too expensive for what it offers","Bulk actions","starter","GB","google_ads","2025-06-01 10:46:16+01"
"b26af1d9-68c","d62c38c5-ea95-4be8-911b-4505674b53dc",20250301,"2025-03",10,"Promoter",1,"Great value","More integrations","pro","BR","google_ads","2025-03-01 10:12:08+01"
"ccad9b15-b6d","d62c38c5-ea95-4be8-911b-4505674b53dc",20250601,"2025-06",9,"Promoter",1,"Super easy to use","Bulk actions","pro","BR","google_ads","2025-06-01 10:02:23+01"
"207a3e09-cf0","f1e8404b-ef40-45c5-a05b-962140869124",20240901,"2024-09",0,"Detractor",-1,"Keeps crashing on mobile","More integrations","business","NG","google_ads","2024-09-01 03:44:31+01"
"314eb422-718","f1e8404b-ef40-45c5-a05b-962140869124",20241201,"2024-12",8,"Passive",0,"Good but missing a few features","More integrations","business","NG","google_ads","2024-12-01 06:47:18+01"
"730bb938-c64","f1e8404b-ef40-45c5-a05b-962140869124",20250301,"2025-03",8,"Passive",0,"Works well enough","Mobile app improvements","business","NG","google_ads","2025-03-01 08:36:25+01"
"316cf1c1-a85","f1e8404b-ef40-45c5-a05b-962140869124",20250601,"2025-06",8,"Passive",0,"Decent price","Mobile app improvements","business","NG","google_ads","2025-06-01 18:03:55+01"
"c574eff6-1d0","3087dcbe-81a4-4aca-a513-6cec2f9a99fe",20240901,"2024-09",7,"Passive",0,"Decent price","","starter","US","linkedin_ads","2024-09-01 13:21:29+01"
"c32f03f2-e50","3087dcbe-81a4-4aca-a513-6cec2f9a99fe",20241201,"2024-12",10,"Promoter",1,"Love the kanban board","","starter","US","linkedin_ads","2024-12-01 08:34:56+01"
"efd98e46-9f5","3087dcbe-81a4-4aca-a513-6cec2f9a99fe",20250301,"2025-03",4,"Detractor",-1,"Support was slow","Better reporting","starter","US","linkedin_ads","2025-03-01 20:01:24+01"
"d8e98f3d-dfa","3087dcbe-81a4-4aca-a513-6cec2f9a99fe",20250601,"2025-06",1,"Detractor",-1,"Support was slow","","starter","US","linkedin_ads","2025-06-01 11:10:05+01"
"868fc48a-3c2","bed0ff42-9df3-41b5-a7a9-13c7f028451f",20240901,"2024-09",9,"Promoter",1,"Best tool for my team","More integrations","pro","US","linkedin_ads","2024-09-01 23:09:50+01"
"c521a84b-c96","bed0ff42-9df3-41b5-a7a9-13c7f028451f",20241201,"2024-12",10,"Promoter",1,"Super easy to use","","pro","US","linkedin_ads","2024-12-01 09:16:24+01"
"714f950e-348","bed0ff42-9df3-41b5-a7a9-13c7f028451f",20250301,"2025-03",9,"Promoter",1,"Clean UI, nothing bloated","","pro","US","linkedin_ads","2025-03-01 15:52:35+01"
"11c42f89-4de","bed0ff42-9df3-41b5-a7a9-13c7f028451f",20250601,"2025-06",8,"Passive",0,"Works well enough","Better reporting","pro","US","linkedin_ads","2025-06-01 02:48:45+01"
"0676351e-df7","00ba9c06-8a1e-4ad7-a0d8-36beab957377",20240602,"2024-06",9,"Promoter",1,"Best tool for my team","More integrations","business","GB","google_ads","2024-06-02 00:56:39+01"
"49e3eb1e-fe2","00ba9c06-8a1e-4ad7-a0d8-36beab957377",20240901,"2024-09",10,"Promoter",1,"Love the kanban board","More integrations","business","GB","google_ads","2024-09-01 11:10:43+01"
"ecb2e715-f8f","00ba9c06-8a1e-4ad7-a0d8-36beab957377",20241201,"2024-12",10,"Promoter",1,"Best tool for my team","","business","GB","google_ads","2024-12-01 06:39:40+01"
"cdf67eb3-a96","00ba9c06-8a1e-4ad7-a0d8-36beab957377",20250301,"2025-03",9,"Promoter",1,"Clean UI, nothing bloated","Bulk actions","business","GB","google_ads","2025-03-01 08:21:51+01"
"636e6a1c-864","00ba9c06-8a1e-4ad7-a0d8-36beab957377",20250601,"2025-06",6,"Detractor",-1,"Confusing onboarding","Bulk actions","business","GB","google_ads","2025-06-01 15:34:24+01"
"2e751be7-256","c2697055-06ec-4e52-b985-9a098d0c894c",20240302,"2024-03",10,"Promoter",1,"Great value","Mobile app improvements","pro","DE","google_ads","2024-03-02 00:25:54+01"
"d42cebaf-3d6","c2697055-06ec-4e52-b985-9a098d0c894c",20240601,"2024-06",5,"Detractor",-1,"Missing integrations I need","","pro","DE","google_ads","2024-06-01 05:30:38+01"
"6ba1c845-6b0","c2697055-06ec-4e52-b985-9a098d0c894c",20240901,"2024-09",8,"Passive",0,"Decent price","Bulk actions","pro","DE","google_ads","2024-09-01 08:36:31+01"
"1ab00d87-29d","c2697055-06ec-4e52-b985-9a098d0c894c",20241201,"2024-12",10,"Promoter",1,"Saves me hours every week","Bulk actions","pro","DE","google_ads","2024-12-01 16:56:46+01"
"567df19b-31b","c2697055-06ec-4e52-b985-9a098d0c894c",20250301,"2025-03",9,"Promoter",1,"Saves me hours every week","Mobile app improvements","pro","DE","google_ads","2025-03-01 07:03:29+01"
"88ffe6b1-22e","c2697055-06ec-4e52-b985-9a098d0c894c",20250601,"2025-06",6,"Detractor",-1,"Too expensive for what it offers","Better reporting","pro","DE","google_ads","2025-06-01 22:37:06+01"
"dfcce7bf-c28","e85cc268-2541-421f-b3e6-2eba8f398d25",20240601,"2024-06",10,"Promoter",1,"Clean UI, nothing bloated","Bulk actions","starter","NG","google_ads","2024-06-01 16:57:16+01"
"9e47dc8c-796","e85cc268-2541-421f-b3e6-2eba8f398d25",20240901,"2024-09",10,"Promoter",1,"Saves me hours every week","Bulk actions","starter","NG","google_ads","2024-09-01 02:11:14+01"
"3f4371a3-08d","e85cc268-2541-421f-b3e6-2eba8f398d25",20241201,"2024-12",8,"Passive",0,"Some bugs occasionally","Bulk actions","starter","NG","google_ads","2024-12-01 14:56:00+01"
"0885ebef-6f5","e85cc268-2541-421f-b3e6-2eba8f398d25",20250301,"2025-03",1,"Detractor",-1,"Too expensive for what it offers","Better reporting","starter","NG","google_ads","2025-03-01 17:50:03+01"
"cdb06def-ca0","e85cc268-2541-421f-b3e6-2eba8f398d25",20250601,"2025-06",10,"Promoter",1,"Clean UI, nothing bloated","Better reporting","starter","NG","google_ads","2025-06-01 11:11:18+01"
"f5de3d3e-495","bf4b5e1c-0d83-47e0-a69c-737d0660468e",20240901,"2024-09",3,"Detractor",-1,"Too expensive for what it offers","","pro","NG","google_ads","2024-09-01 04:54:40+01"
"27f01ea6-ab7","bf4b5e1c-0d83-47e0-a69c-737d0660468e",20241201,"2024-12",7,"Passive",0,"Decent price","Mobile app improvements","pro","NG","google_ads","2024-12-01 05:56:18+01"
"2e916bde-7c9","bf4b5e1c-0d83-47e0-a69c-737d0660468e",20250301,"2025-03",8,"Passive",0,"Decent price","Bulk actions","pro","NG","google_ads","2025-03-01 05:38:18+01"
"6d340f11-5c1","bf4b5e1c-0d83-47e0-a69c-737d0660468e",20250601,"2025-06",9,"Promoter",1,"Super easy to use","More integrations","pro","NG","google_ads","2025-06-01 07:17:38+01"
"3bbc8c16-cfd","96551369-a432-405b-abf9-57c063114a14",20240301,"2024-03",8,"Passive",0,"Some bugs occasionally","API docs","pro","KE","google_ads","2024-03-01 08:17:20+01"
"39662478-6b0","96551369-a432-405b-abf9-57c063114a14",20240601,"2024-06",8,"Passive",0,"Good but missing a few features","Mobile app improvements","pro","KE","google_ads","2024-06-01 21:41:58+01"
"cbfd10ab-2d0","96551369-a432-405b-abf9-57c063114a14",20240901,"2024-09",9,"Promoter",1,"Clean UI, nothing bloated","Bulk actions","pro","KE","google_ads","2024-09-01 14:54:42+01"
"5d24834a-7d8","96551369-a432-405b-abf9-57c063114a14",20241201,"2024-12",9,"Promoter",1,"Great value","Better reporting","pro","KE","google_ads","2024-12-01 18:11:46+01"
"593d302d-527","96551369-a432-405b-abf9-57c063114a14",20250301,"2025-03",8,"Passive",0,"Decent price","Better reporting","pro","KE","google_ads","2025-03-01 04:45:02+01"
"73a784a6-749","96551369-a432-405b-abf9-57c063114a14",20250601,"2025-06",1,"Detractor",-1,"Too expensive for what it offers","Mobile app improvements","pro","KE","google_ads","2025-06-01 14:41:39+01"
"b6a8c610-2c2","18f6db41-7ad5-446b-b4d6-e93ea1ea0cbf",20250301,"2025-03",8,"Passive",0,"Works well enough","Bulk actions","starter","GH","linkedin_ads","2025-03-01 22:52:03+01"
"0e397c5b-421","18f6db41-7ad5-446b-b4d6-e93ea1ea0cbf",20250601,"2025-06",8,"Passive",0,"Good but missing a few features","","starter","GH","linkedin_ads","2025-06-01 19:04:44+01"
"a7960da1-6b1","bd105e27-18a1-4177-9d00-8fba74e9b637",20240901,"2024-09",8,"Passive",0,"Decent price","Bulk actions","starter","NG","organic_search","2024-09-01 09:53:40+01"
"cbccfdc9-474","bd105e27-18a1-4177-9d00-8fba74e9b637",20241201,"2024-12",10,"Promoter",1,"Super easy to use","Mobile app improvements","starter","NG","organic_search","2024-12-01 12:27:13+01"
"4ff9f76a-ec2","bd105e27-18a1-4177-9d00-8fba74e9b637",20250301,"2025-03",6,"Detractor",-1,"Confusing onboarding","Better reporting","starter","NG","organic_search","2025-03-01 20:42:28+01"
"2768dce9-71f","bd105e27-18a1-4177-9d00-8fba74e9b637",20250601,"2025-06",5,"Detractor",-1,"Missing integrations I need","API docs","starter","NG","organic_search","2025-06-01 01:29:45+01"
"60e630b5-341","7871c17e-5381-448d-83dc-e6e992a366b2",20240601,"2024-06",10,"Promoter",1,"Best tool for my team","Bulk actions","business","US","organic_search","2024-06-01 07:22:15+01"
"4f50d06a-b09","7871c17e-5381-448d-83dc-e6e992a366b2",20240901,"2024-09",10,"Promoter",1,"Saves me hours every week","Bulk actions","business","US","organic_search","2024-09-01 21:33:18+01"
"2f83aa9b-ae2","7871c17e-5381-448d-83dc-e6e992a366b2",20241201,"2024-12",5,"Detractor",-1,"Support was slow","More integrations","business","US","organic_search","2024-12-01 17:14:49+01"
"ffbf1707-bd3","7871c17e-5381-448d-83dc-e6e992a366b2",20250301,"2025-03",10,"Promoter",1,"Clean UI, nothing bloated","Better reporting","business","US","organic_search","2025-03-01 23:42:09+01"
"18d9349e-d7d","7871c17e-5381-448d-83dc-e6e992a366b2",20250601,"2025-06",9,"Promoter",1,"Saves me hours every week","More integrations","business","US","organic_search","2025-06-01 16:12:57+01"
"aec91784-005","6fec25ce-e945-42cf-80e6-b3116ceca4ae",20250301,"2025-03",10,"Promoter",1,"Love the kanban board","Better reporting","pro","KE","referral","2025-03-01 17:13:17+01"
"818516c4-e0a","6fec25ce-e945-42cf-80e6-b3116ceca4ae",20250601,"2025-06",5,"Detractor",-1,"Confusing onboarding","Bulk actions","pro","KE","referral","2025-06-01 15:40:14+01"
"1c438337-87c","929a0be7-fc85-49c2-81e0-013550a1b0fb",20250601,"2025-06",8,"Passive",0,"Some bugs occasionally","More integrations","pro","CA","google_ads","2025-06-01 19:19:04+01"
"7232c1c1-f27","2cb8b6b5-82bd-4062-a089-ef927938c749",20240901,"2024-09",9,"Promoter",1,"Saves me hours every week","Bulk actions","pro","US","referral","2024-09-01 05:36:17+01"
"6463db84-60f","2cb8b6b5-82bd-4062-a089-ef927938c749",20241201,"2024-12",7,"Passive",0,"Works well enough","Mobile app improvements","pro","US","referral","2024-12-01 01:35:13+01"
